word,day_427,day_428,day_429,day_430
andouille,12321,55072,71385,70598
andre,8693,29770,6644,38631
andrea,2344,12829,5113,9780
andreas,14665,24457,8140,41162
andrew,3283,5661,3232,31533
andria,28879,53174,48495,72575
andric,37015,54904,69616,36724
andries,73390,63332,60738,44242
androgen,64679,57890,53191,1458
androgenic,63308,45447,31637,921
androgyne,79037,74849,77597,46726
androgynous,74140,61307,43517,10211
androgyny,81369,63255,57816,47285
android,15448,22725,12044,5147
andromeda,34956,33078,38048,22660
ands,26731,10336,13567,6817
andy,4596,6552,4384,20425
ane,54163,34496,49400,14217
anecdotal,28397,38128,25812,25673
anecdotally,53048,74332,54912,21632
anecdote,4962,31379,15857,31115
anechoic,48909,72221,45959,71505
anemia,22314,29402,54601,3653
anemic,25007,21644,47846,7182
anemometer,73250,45837,62118,11663
anemone,36609,38856,9732,15071
anencephalic,79345,56834,67437,48485
anencephaly,78296,77647,65572,49205
anent,69960,52292,59172,23773
aneroid,74714,33237,65734,45954
anesthesia,19701,17293,22870,15014
anesthesiologist,27618,24244,29134,54755
anesthesiology,51999,31982,37522,60892
anesthetic,35254,24143,37274,2020
anesthetist,56169,33763,45426,55544
anesthetize,50151,7280,59537,27355
aneurin,43561,66109,50256,11987
aneurism,61258,66240,75930,68589
aneurysm,46037,38511,56421,37888
anew,29438,34825,24403,5012
angara,40584,55764,40849,59355
angel,2903,275,3674,5786
angela,2520,8242,7147,23677
angeleno,41268,56659,61036,76022
angeles,2358,6287,478,18385
angelfish,46825,33302,29041,28330
angelic,18947,5002,22649,23875
angelica,15040,22425,22604,11256
angelically,61984,69100,61561,55837
angelico,57252,50581,59453,72883
angelina,8230,9305,9077,35105
angeline,38456,46234,51656,75911
angelique,31200,46815,45737,14647
angelo,4112,27490,7561,22121
angelus,17088,13004,59195,26507
anger,6678,6595,14781,11483
angie,4801,4108,5024,11217
angina,43661,32845,67497,33529
angiogenesis,43482,57792,57626,29800
angiogenic,59199,65295,64830,42654
angiogram,50329,41270,70372,69711
angiographic,69009,75392,73379,66600
angiography,54551,45034,68442,70623
angioplasty,44478,51652,51543,60890
angiosperm,42941,80749,61162,77078
angiotensin,69319,69359,69609,24431
anglaise,22891,71524,49441,63791
angle,9025,5202,7148,9259
angler,8418,12217,2444,40319
anglian,35771,26046,32251,25394
anglican,20145,43885,17642,19414
anglicanism,63233,77278,49667,53509
anglicize,74185,55439,51476,44927
angling,12754,10518,3626,36530
anglo,20584,40175,27927,25934
anglophile,53700,67188,77358,74168
anglophiles,73508,79042,76106,79259
anglophilia,75126,75133,66916,53393
anglophilic,77715,77842,80321,79912
anglos,37376,79505,61006,41066
angola,31164,29026,9177,61328
angolan,47904,63157,27736,35998
angora,22890,2150,25648,1383
angostura,38050,50691,29116,59067
angrily,20982,7634,39204,26249
angry,4673,2468,9066,15300
angst,17636,43663,22795,23176
angstrom,38320,23015,24799,15116
anguilla,19244,21961,1782,57442
anguish,20681,16296,35287,26698
anguished,41698,39600,70316,53878
anguishing,68576,79594,74798,72009
angular,43808,9845,17791,31189
angularity,78317,71345,67941,78766
angus,5537,8656,15140,15161
anhedonia,60035,68710,67310,74668
anhydride,37671,80416,34529,56767
anhydrous,58745,60596,50637,2134
anil,13296,21656,22780,18669
aniline,49366,61313,47968,8329
anim,67431,22275,62299,65285
anima,58279,12338,40341,31573
animal,3064,17,1188,1185
animalistic,72253,20457,62576,28294
animality,63256,27658,79122,69287
animas,34709,36516,27335,78146
animate,6502,4192,4728,17462
animatedly,42972,57884,70516,62985
animation,9808,5840,5771,28320
animator,31443,33727,18363,25689
anime,10247,11954,5769,19725
animism,79737,81258,81099,67430
animist,66028,72714,64454,41606
animistic,73647,81047,67735,53954
animosity,20769,49149,58911,25134
animus,57174,42928,67370,49411
anion,45868,14124,33284,6314
anis,49833,51022,69077,22640
anise,22128,29583,45018,4172
aniseed,43037,48517,61424,9269
anisette,37326,59919,78486,75960
anisotropic,64546,46682,50772,29483
anisotropy,49676,62848,53992,77061
anita,9167,6908,3303,39000
ankara,12050,35646,17092,22499
anker,65196,21212,57029,40320
ankh,78384,12629,49077,44155
ankle,16028,105,15683,5085
anklet,53519,9284,25326,7802
ankylosing,69827,32547,56549,31670
ann,3306,5787,3096,35913
anna,3477,4486,2012,11182
annabel,10600,35399,19851,38267
annal,48345,55120,74043,75995
annals,41316,25209,27937,42267
annapolis,3927,17792,1323,32053
annapurna,26289,22005,15539,44194
annatto,75418,53326,68888,7858
anne,2694,9639,2572,19133
anneal,35802,60030,47548,18828
annelid,64605,78390,75222,67577
annelids,80032,78597,40238,57134
annette,8796,11554,6908,54940
annex,14439,16252,10681,37543
annexation,43503,22581,11530,67152
annexe,36031,54106,19115,53313
annexure,68716,65725,71281,32388
anni,16410,29274,36583,62132
annie,2416,2195,7584,15842
annihilate,36709,46181,24175,60825
annihilation,36804,26155,24225,40848
annihilator,69854,62422,55199,35663
anniversary,264,1783,2976,32396
anno,47623,53454,38258,59851
annotate,28474,45697,22033,40475
annotation,61788,21564,36235,47227
annotator,63566,78666,73260,65114
announce,2329,2831,4235,48771
announcement,1886,7822,7640,33779
announcer,10881,34772,29358,20931
annoy,6964,6005,10061,4392
annoyance,15431,8917,35718,13083
annoyingly,40444,25891,32192,9207
annual,393,1983,1910,11149
annualize,75191,75053,81505,63757
annualized,47377,50898,52705,39786
annually,2138,23435,4430,13926
annuitant,43720,67095,75075,74504
annuity,18605,67050,25350,27217
annul,25337,51543,51357,59192
annular,45294,45147,29318,73299
annulment,34008,45440,29272,27124
annum,14143,45960,29890,23508
annunciation,18402,43910,37544,75418
annus,52763,32890,70699,15850
anode,29738,57693,43845,6138
anodized,27982,17108,31942,11212
anodyne,53733,32039,37568,19840
anoint,19425,20479,39370,3373
anointment,38096,44184,77541,36421
anole,57524,22193,71348,22060
anomalistic,73191,54118,45598,40184
anomalous,52217,51931,41012,75724
anomalously,47971,59281,39239,67490
anomaly,51505,28343,17867,39081
anomic,76738,79949,80712,80628
anomie,61834,75746,68088,76262
anon,21554,15077,23270,17482
anonymity,20025,33410,20692,36778
anonymous,6387,15672,4869,40619
anonymously,14298,18601,17189,57647
anopheles,52150,36818,47106,57760
anorak,29736,30584,24013,22787
anorectic,60288,80215,51693,31742
anorexia,20867,36932,27953,14831
anorexic,31022,53108,23453,26571
another,648,1760,703,3612
anova,25724,69589,48155,21358
anoxia,55014,60430,22930,56624
ans,6687,11501,8872,17700
ansa,62365,64771,79832,80274
anschluss,52639,65241,74958,80563
ansel,28671,52595,16918,74277
anselm,52715,29653,25670,24282
anser,32110,38748,57917,62687
ansi,57788,25629,26228,34803
answer,3596,7593,3390,2944
answerable,34072,58723,57831,36701
answerer,68504,62624,65065,37022
answerers,73862,76298,60767,71465
ant,13964,4224,8480,4846
anta,66538,14173,31432,25888
antacid,34771,52240,32819,908
antagonise,65721,60192,79179,44024
antagonism,37396,59674,71843,23757
antagonist,41240,44095,46971,11958
antagonistic,35206,58684,45405,13050
antagonistically,80479,45282,64161,38265
antagonize,44142,40621,68309,14336
antal,40360,33150,44261,61210
antar,66550,77552,76493,76634
antara,55009,47655,38765,14182
antarctic,23003,23969,6868,31697
antarctica,17697,21877,4762,27710
antares,46052,32277,35556,14029
ante,14228,15972,25588,19618
anteater,41856,8130,28891,22565
antebellum,13232,28544,21722,62066
antecedent,54648,66350,40847,9786
antechamber,40101,69837,56577,78974
antedated,68208,72878,76948,80352
antedates,76086,75195,59564,52085
antediluvian,57603,41341,61098,69466
antelope,13345,3461,11779,45450
antenatal,22954,72524,37420,15007
antenna,16745,5641,18120,7316
anterior,39288,12928,36223,29204
anterograde,40983,57165,77237,63898
anteroom,35721,63150,59815,67796
anthem,11440,16484,6108,40322
anther,54578,55798,39439,10084
anthill,34711,16489,62330,59130
anthills,42233,34040,46137,50724
anthologist,47210,81023,61628,68096
anthologized,65843,79540,49510,62510
anthology,7556,28906,13869,17507
anthony,3964,16978,4200,6317
anthracite,38435,21612,36216,27186
anthracnose,46346,30274,43461,67508
anthrax,40442,39151,28338,22367
anthropic,60605,77098,50779,54700
anthropocentric,80902,57782,52286,37238
anthropogenic,44709,46527,24451,38588
anthropoid,71896,35108,79090,49935
anthropological,27426,20739,31727,30397
anthropologically,62991,72347,79033,52677
anthropologist,29804,48194,29826,41209
anthropology,18220,23566,14634,36675
anthropomorphic,53079,9375,44392,21194
anthropomorphism,80559,40794,63095,28599
anthropomorphize,72244,57431,75497,18431
anthropomorphized,75362,21336,52717,71106
anthropomorphizing,78177,52336,78167,67122
anthroposophy,76499,38471,79103,66708
anti,18891,1946,9565,201
antiabortion,75696,30956,74628,61067
antiaircraft,76007,49554,31849,63050
antianxiety,34574,72702,55269,6509
antibacterial,41070,5214,24077,93
antiballistic,79579,76211,53583,48027
antibiotic,12439,12500,21603,551
antibody,19591,27363,41485,3796
antic,51597,31015,33805,37633
antica,14352,52040,30232,24707
anticancer,38444,51362,47285,4191
anticapitalist,52087,45227,78767,34261
antichrist,39273,49342,50427,28431
antichrists,79748,57518,66308,21530
anticipate,3512,23045,8205,15342
anticipation,2725,12140,10420,44232
anticipatory,31179,28272,74783,44543
anticlimactic,31067,60504,51695,32903
anticlimax,75128,59064,71547,9492
anticline,78100,56249,62014,47994
anticoagulant,70787,39282,38449,4155
anticommunism,58892,76430,80874,63433
anticommunist,39356,52420,79461,65729
anticompetitive,70594,65885,66924,36241
anticonvulsant,71605,71618,27955,8783
antics,5717,3262,18126,21513
anticyclone,80925,60575,52097,74086
antidemocratic,80668,57930,78636,41617
antidepressant,26779,33267,27232,1555
antidiuretic,79137,49440,71933,57189
antidote,9058,16694,19274,394
antidrug,63938,75196,65594,65482
antidumping,60958,47873,66192,50258
antiepileptic,81530,67243,31609,8324
antietam,32408,13330,29847,47188
antifascist,71496,38147,64974,65429
antifreeze,37733,24289,34260,481
antifungal,68079,29234,44879,152
antigay,59930,46725,38344,23129
antigen,17770,46437,35255,14159
antigenic,46798,78462,32665,41526
antigone,53166,44143,39659,40050
antigovernment,48828,44290,77933,71457
antigravity,65513,67014,49043,52319
antiguan,41732,42329,18454,62256
antihero,58940,66021,73515,30934
antihistamine,43613,34287,48787,573
antihypertensive,58663,55630,59735,7545
antiinflammatory,73730,32441,59308,9759
antillean,54651,36526,36992,63740
antilles,47806,32122,3877,67977
antimalarial,67315,71727,40929,9877
antimatter,48033,62426,53754,35716
antimicrobial,38224,12749,24233,475
antimissile,60410,62683,69530,63308
antimonopoly,55829,76903,43065,63929
antimony,57913,63894,61766,9927
antineoplastic,76451,74150,61513,4945
antioxidant,15574,15270,17986,236
antiparticle,65321,77899,53936,38636
antiparticles,75705,80801,64228,50796
antipasti,1360,73685,28012,37364
antipasto,1259,65448,43442,39708
antipathetic,74203,57319,81039,42650
antipathy,50471,40689,60838,16323
antipersonnel,66289,26448,73790,32328
antiperspirant,59642,20258,36806,500
antiperspirants,56261,45588,43512,176
antiphon,33407,77800,51903,53279
antiphonal,63367,80695,79240,81089
antiphons,30722,74259,47370,74851
antiplatelet,71679,42797,44701,27048
antipodal,80441,33817,43890,35904
antipode,72833,22976,15707,12001
antipodean,49254,46720,51096,22605
antiproton,48494,69200,77600,60719
antipsychotic,58634,70801,54725,14777
antiqua,70484,41808,39227,25335
antiquarian,63327,28638,43931,46380
antiquary,64068,71214,49294,56361
antiquated,14557,45912,21453,32888
antique,4568,4970,3554,6628
antiqued,52486,11777,28765,35745
antiquing,16757,34245,15074,4416
antiquity,20993,41236,14441,34433
antiscience,72748,46905,73336,74158
antisemitic,54643,54280,76603,63588
antisemitism,59029,69805,75487,61475
antisepsis,51908,35670,78469,20972
antiseptic,46381,8246,31847,68
antiserum,34835,40625,73535,8209
antislavery,52312,24284,49709,76505
antismoking,70979,60219,80328,53202
antisocial,43893,34199,42445,67473
antispasmodic,76812,57282,47749,6829
antistatic,52435,22106,45577,2675
antisubmarine,62179,30816,44562,69297
antitank,56227,41142,64153,53666
antitheft,74775,34051,65883,5760
antithesis,41392,72055,48411,17308
antithetical,58435,72491,59645,20071
antithrombin,79001,64391,80070,27468
antitoxin,53453,63725,78053,7076
antitrust,32441,57416,20410,28048
antitrypsin,81548,53866,77929,20250
antitumor,61821,63350,51224,47833
antivenin,60105,25416,48711,34488
antiviral,44526,52020,33930,2352
antivirus,19062,9038,9797,1478
antiwar,30858,32521,27957,71365
antler,17791,420,23929,7406
antlered,40263,26216,75588,44804
antoinette,8179,48134,38995,45862
anton,26011,16550,18037,8464
antonia,34848,53921,24511,49782
antonio,4742,7407,1296,9477
antony,18027,66193,20764,23085
antonym,41181,45543,47938,23506
antsy,21677,36594,54999,38276
antwerp,19943,42445,11081,40192
anubis,60278,11752,73597,20277
anura,45506,55249,78968,77866
anus,18863,3326,12516,6514
anvil,31375,11794,19977,43798
anxiety,7841,7310,14578,2017
anxiolytic,72648,63322,31534,6944
anxious,4590,5680,10337,16202
anxiously,9981,7938,19135,36139
anxiousness,30094,64697,76852,15040
anybody,2162,5665,4840,7426
anyhow,2526,15334,12853,6000
anymore,797,3942,3881,2131
anyone,636,1733,1514,3513
anyplace,18481,52844,9024,18721
anything,474,2303,1694,1637
anytime,725,8883,3315,10189
anyway,350,3652,2438,3171
anyways,1457,8421,7266,7555
anywhere,1140,3886,560,4471
anzac,5879,19117,10599,33700
ao,20249,39180,6314,43110
aor,64285,43510,19286,8532
aorta,57215,26979,59909,56211
aortic,55507,34492,64910,54274
ap,16130,15763,4641,56114
apa,15991,24915,13715,44149
apace,36200,44697,45216,40661
apache,17975,15889,13519,41343
apaches,35278,63730,43108,62908
apart,741,1766,797,4626
apartheid,46089,64596,19008,28680
apartment,2128,5535,150,6253
apathetic,33266,45946,33605,71733
apathy,19923,22954,30406,45820
apatite,62960,5226,43689,14636
apatosaurus,72329,33858,73484,68626
ape,24047,1655,11355,9148
apelike,69755,38500,77820,59246
apeman,81356,74138,52627,60121
apennine,49457,59157,33840,45850
apennines,49953,23169,22580,49322
aperitif,543,73833,14961,23360
aperture,34199,27153,16646,64657
apex,16592,4009,13547,60844
aph,63430,42946,62895,58426
aphasia,45801,10599,55552,52463
aphasic,42812,55999,81620,80456
aphelion,76107,38025,39745,42309
apheresis,70242,48393,61618,9233
aphid,38579,17318,42269,3608
aphis,80838,45172,66730,61114
aphorism,31773,66543,35235,23303
aphoristic,69582,77091,76252,38373
aphrodisia,59522,74563,77794,29584
aphrodisiac,8760,51767,23025,1175
aphrodite,19557,29497,5283,5019
apiary,40988,35444,50214,7778
apical,62203,22077,41897,57630
apiece,4902,18796,25505,18819
apis,32751,33771,24420,8661
aplastic,50548,54344,76787,20714
aplenty,7496,20786,6578,36143
aplomb,26475,40637,57013,43467
apnea,20792,21716,20199,6244
apnoea,67607,54521,72753,55234
apocalypse,10057,19937,13752,14164
apocalyptic,24620,51903,27493,51294
apocrine,70124,55801,51765,60897
apocrypha,62597,53871,47614,78349
apocryphal,73199,78229,59065,63703
apogee,61637,24657,14887,27001
apolitical,31716,48144,47573,52637
apollo,10269,21479,4924,12495
apollonian,76152,71019,69819,52894
apollos,58067,72626,44247,13058
apollyon,45362,29814,73840,38841
apologetic,15019,29224,51861,22378
apologetically,32253,48866,73544,29770
apologetics,27887,67307,35350,27703
apologia,41013,64617,30889,23404
apologise,16402,27465,51956,13047
apologist,33044,60102,42626,52001
apologize,7066,14193,33632,12800
apology,4958,13241,19774,23090
apoplectic,63923,51635,81050,76361
apoplexy,40069,65514,74923,62384
apostasy,76361,64292,58974,50925
apostate,59941,70194,66847,64135
apostille,59528,42314,45471,69504
apostle,16171,12967,11501,22750
apostolate,28681,27057,55814,57606
apostolic,25488,17280,24346,22955
apostrophe,59148,26499,47160,20151
apothecary,35445,34495,44463,1790
apotheosis,53321,58136,65714,39959
apotropaic,65899,46538,79772,49477
app,4786,6374,7609,14047
appalachia,19864,25305,16964,61792
appalachian,12317,7635,6013,42719
appalachians,58921,49290,22840,43128
appall,16310,30667,19723,21844
appallingly,49208,52035,66183,27744
appaloosa,28156,3632,19511,47508
appaloosas,75863,29589,66795,32051
apparat,62938,55857,46038,49515
apparatchik,33999,66070,77128,71966
apparatchiks,29732,56555,73584,45464
apparatus,21165,41896,22568,26298
apparel,5627,1514,2386,3634
apparent,10068,20290,5497,14723
apparently,1002,4380,2011,7118
apparition,25843,54456,31122,18212
appeal,2340,4644,1984,6979
appealable,43593,48492,63041,31956
appealingly,36207,25108,56929,63833
appear,2021,2418,2930,5470
appearance,1499,3578,4561,1548
appease,9190,11303,40511,7805
appeasement,25678,59485,53793,33708
appeaser,65977,42156,81081,76281
appeasers,72794,74452,67546,74296
appel,30668,24753,47083,48930
appellant,30498,36890,28221,53962
appellate,22741,33856,17003,38932
appellation,26657,25546,23107,15742
appellee,59267,55571,33253,64958
append,57372,37225,46801,36467
appendage,52377,5761,36820,10363
appendectomy,30548,35780,39812,64262
appendicitis,24434,39730,70282,73061
appendix,24181,24127,28537,26956
appenzell,68570,26349,53131,59671
apperception,46277,53010,55486,20631
appertaining,44130,56047,47746,15888
appetiser,3634,72408,46648,53411
appetising,6440,33624,33043,16524
appetit,3570,7926,31171,21837
appetite,2095,5473,12794,4950
appetizer,12,11629,7913,11933
appetizing,1390,22443,11849,10856
appl,40289,24239,41019,31275
applaud,10083,10140,21003,45160
applause,7290,4716,19805,57565
apple,1297,1924,6662,3838
applecart,68667,64692,79042,59961
applejack,22951,16044,66856,45512
applesauce,5074,9691,42579,5068
applewood,12923,21359,36065,66203
appliance,5386,14129,6342,1003
applicability,66315,63782,44669,58058
applicable,7718,23177,10410,22709
applicant,16621,24603,13628,35255
application,5189,4186,7062,3901
applicator,61390,9019,39041,584
appling,46389,70177,66080,14766
applique,19533,250,16881,24030
appliqued,36665,5416,22536,49611
apply,3537,1568,5490,405
appoint,3342,19908,3892,13131
appointee,25778,46695,53967,40725
appointive,62955,77750,55372,48421
appointment,752,7016,7764,2323
appomattox,21535,27681,27587,69090
apportion,19934,52164,39184,18857
apportionment,35625,76287,63616,14004
apposed,44992,49246,41759,8625
apposite,69445,43684,58410,43475
apposition,70437,61551,61092,27841
appraisal,15737,13284,14323,26929
appraise,29420,22433,37039,23557
appraiser,38543,27124,14052,30209
appreciable,44723,34899,31267,13820
appreciably,43791,42999,45389,25524
appreciate,1113,4646,2586,6381
appreciation,339,4942,6740,26261
appreciative,5939,6360,25591,45886
appreciatively,56612,46800,49977,56462
appreciators,75677,53824,56789,64611
apprehend,55098,53228,25052,33856
apprehension,33273,40938,34662,56843
apprehensive,13437,33978,34593,29799
apprehensively,51887,70677,67440,68936
apprentice,14136,17023,25953,20331
apprenticeship,13779,44210,41393,19467
apprise,38660,44357,47884,70251
approach,2448,4061,2537,4135
approachability,43912,68497,65399,65126
approachable,7895,25015,23572,19051
approbation,22723,23624,56235,56606
appropriate,2029,4592,5015,2792
appropriately,4699,15130,15198,7418
appropriateness,45082,66101,47575,54261
appropriation,16958,58113,20532,22123
appropriator,56260,63121,69542,32846
appropriators,35109,51179,63199,36206
approvable,43358,20731,50058,71844
approval,6647,5284,9101,40160
approve,5668,5296,4259,6118
approver,72932,71798,45069,44213
approvers,76019,48351,79455,56341
approvingly,64489,65149,53021,61351
approx,5129,6463,3693,21101
approximate,13974,24178,10747,10016
approximately,3652,5247,1534,13826
approximation,27274,57758,26895,13257
approximative,40037,56536,55303,38858
appurtenance,40150,69789,47153,61213
appurtenant,50908,46710,42376,39824
apr,7370,11061,6081,15152
apraxia,45673,54370,62610,38590
apres,8518,32231,16263,29647
apricot,7933,2161,12597,629
april,1400,3109,1427,12721
apron,2613,293,10078,2768
apropos,19058,56293,41291,24963
apse,61492,44149,26416,80453
apses,31012,67662,68604,73874
apt,8579,8495,3203,11817
aptitude,41373,13729,35161,31723
aptly,8676,14287,8280,19775
aptness,73712,53761,70996,63364
apts,55378,25793,5161,24838
apus,28829,62316,48491,50138
aq,36559,13749,21900,4026
aqua,7334,1577,812,1381
aquaculture,19529,35426,14093,36249
aqualung,64582,67851,26205,59653
aquamarine,36611,13563,3842,15829
aquanauts,65415,33367,32328,72236
aquarian,69926,42450,31656,16626
aquarians,62164,65414,40111,10994
aquarist,60280,40705,27700,20545
aquarium,5272,5442,706,3320
aquarius,25181,13390,12226,5709
aquatic,15738,3226,1447,7046
aquatint,55254,11942,45901,29216
aquavit,17415,73047,51392,34739
aqueduct,40064,28004,15407,19690
aqueous,65559,40119,23819,906
aquifer,49131,19616,12248,55029
aquila,29538,35240,34407,61192
aquiline,71078,17039,63635,52462
aquilino,79681,68971,79694,52967
aquinas,25351,43733,12848,19565
ar,11419,9770,6855,32409
ara,28553,6516,15948,8727
arab,8277,17323,3544,15588
araba,80335,64031,67515,74247
arabella,19804,35517,17590,29789
arabesque,27772,19602,33033,36709
arabia,13017,51064,8700,38217
arabian,4833,12769,2372,30384
arabians,63494,39778,36458,42498
arabic,7282,20666,11824,32702
arabica,18141,56647,38770,21374
arabist,66532,71996,62398,77577
arable,37697,46145,23242,24610
araby,46763,76747,40937,68889
arachidonic,70607,59626,66714,40131
arachne,71950,54367,78383,34858
arachnid,49939,30468,52763,48156
arachnoid,51092,40003,64149,46556
arad,40162,39257,24017,69239
aragonese,33099,51577,47799,67694
aragonite,70752,69399,17521,44712
arak,51394,52166,36419,40703
aralia,66555,49451,72260,24090
aramaic,59333,33091,47396,36553
aramid,28717,61643,58772,62927
aramis,51749,30615,49712,2077
arango,81277,19283,69016,29010
arapaho,61000,39472,36902,79383
arar,75277,77285,77854,33487
arati,15408,37635,49842,40894
araucaria,70585,47723,55678,54932
arawak,65885,48483,18181,79752
arb,43813,10751,24309,7179
arba,56747,43207,68267,73989
arbiter,45625,65814,45971,49789
arbitrage,34375,77342,37754,77318
arbitrageur,64006,81442,78578,81022
arbitral,31967,53072,49698,22141
arbitrarily,33121,48522,21850,37882
arbitrariness,74390,78585,75099,27977
arbitrary,24084,27163,18225,38685
arbitrate,52821,64682,36563,19562
arbitration,17622,46677,15878,13883
arbitrator,22022,57034,34274,12240
arbor,3672,3145,7033,33007
arboreal,53917,11963,28340,53357
arboretum,11276,28100,8385,33191
arboriculture,67617,35220,70807,73440
arborist,65928,14276,34302,25787
arborists,75447,17855,31742,24032
arborvitae,69235,41933,67535,63723
arbour,27629,58153,25409,48008
arbs,53385,74951,64081,33693
arbutus,32586,15426,16563,70305
arc,10835,8307,5768,30568
arca,29881,30268,53026,62200
arcade,8362,7064,3946,18772
arcaded,70940,74497,42648,81607
arcadia,10840,12954,1390,55504
arcadian,40358,28594,8741,12632
arcadians,79575,70466,78834,37026
arcady,53825,78502,64885,51691
arcane,42232,37186,28611,32154
arcanum,37981,22810,45632,68074
arch,14395,1430,6646,20660
archaeological,19566,21949,3297,52476
archaeologically,77001,56572,68646,11820
archaeologist,27953,36362,16634,44476
archaeology,14155,17759,6832,64531
archaeopteryx,63670,34398,72131,61634
archaic,37586,54815,25231,60673
archaism,57276,80318,70464,45568
archangel,33881,3489,39919,43088
archbishop,19519,51820,27236,6731
archbishopric,78155,61057,63637,32705
archdeacon,63214,78941,77679,66209
archdiocesan,33371,40263,46678,36230
archdiocese,17061,44718,23318,24373
archdruid,61786,54871,74854,59308
archduchess,72172,77837,76516,81499
archduke,30334,53219,75279,44036
arche,68228,39375,69092,20081
archenemy,31501,47529,78509,57731
archeological,24735,28787,4796,53028
archeologist,49169,40205,31773,59647
archeology,46224,44289,11464,77144
archer,14304,10828,15661,28446
archery,10681,8582,16322,53678
archetypal,40707,49967,30340,38143
archetype,45793,44854,42065,16713
archetypical,77410,74959,54577,58580
archibald,25296,32022,23131,31044
archie,8888,9543,23251,26994
archimandrite,73951,67144,74979,41859
archimedean,36988,50234,60430,65845
archimedes,66167,20772,61679,32052
archipelagic,79676,58609,25895,64012
archipelago,27013,15303,1058,19432
architect,13573,34098,7349,31274
architectonic,76446,77503,65609,38855
architectural,10006,19947,4844,39332
architecturally,22991,53625,10952,30053
architecture,7747,32242,2136,16170
architrave,65306,52642,75280,71463
archival,35089,9407,19518,19816
archive,4573,2554,4459,25688
archiver,44705,68246,79050,23840
archivist,41226,7028,42527,69057
archly,72118,71022,65604,67742
archon,34052,26068,69469,56987
archpriest,71702,78661,73536,76160
archway,15769,32042,19284,61291
archy,53836,41779,45735,67648
arco,26608,26976,14550,19497
arcos,24002,74482,9917,53710
arctic,15069,1259,3111,22179
arcturus,73491,67620,72046,77150
arcus,60112,60876,75327,80945
ardent,26889,13323,20083,64196
ardently,65735,54269,68639,36318
arditi,77623,54638,79521,75817
ardito,81384,63912,70648,50887
ardor,51554,32651,65048,32381
arduous,17105,19972,15850,23113
arduously,59213,48607,73299,45815
area,1227,512,76,1756
aready,51291,76039,76238,51399
areal,69936,40738,21913,65229
areca,53010,36023,41192,34032
aren,18460,45787,16254,25219
arena,4985,9532,3379,15764
arend,56408,44776,75080,39957
arent,13025,11809,11868,11412
areola,65879,16952,53119,24926
ares,26173,34205,23461,31567
arete,61266,13202,40844,72386
arethusa,51398,65545,48426,27873
arf,23411,11426,52944,32403
arg,38991,26336,18514,11652
argent,30784,9155,42615,20482
argentina,7140,28091,2816,9608
argentine,7232,36374,9514,15104
argentinean,4971,70873,17844,31055
argentineans,36158,80923,50810,30940
argentinian,3658,60092,19207,24956
argentino,48092,22856,27576,35918
argh,22296,19930,46040,20598
arginine,38881,41877,55371,1373
argo,12573,12196,19360,30495
argon,24462,71544,54483,45079
argonaut,40389,39198,52470,17902
argonauts,67400,56463,46308,30919
argonne,33146,14478,56766,62926
argos,29244,40817,38572,12847
argosy,32131,20916,26047,45007
argot,79316,78263,72032,58017
arguable,50478,76136,28102,26543
arguably,9979,38241,3824,30474
argue,8118,23557,7648,13831
arguer,37372,79129,79492,17776
arguers,64384,63534,70169,12850
argument,6398,21382,8690,7730
argumentation,47338,45768,55089,26490
argumentative,31248,23291,48653,46251
argumentativeness,58713,39399,73257,59586
argus,35503,15003,20558,42230
argyle,21450,870,11721,22503
argyll,18424,18881,11729,39780
arhat,45086,45792,52993,79846
aria,10251,30686,8085,10756
ariadne,34832,37738,33026,47557
arian,66053,70030,68256,53399
ariana,42553,21436,32781,44991
arianism,79922,79918,71249,70721
arid,33782,18856,4624,7812
aridity,79343,80990,55680,42364
ariel,12345,6608,5191,10526
aries,34234,20337,29882,13195
arietta,51403,80145,55237,79747
aright,35082,45952,67250,33490
aril,64361,61979,78585,76276
arise,9173,28591,16566,9452
arised,78054,79491,74242,56877
arista,34828,24667,32773,53246
aristo,57113,22941,68366,32076
aristocracy,17309,50067,25716,38203
aristocrat,11718,28689,34631,19628
aristocratic,7495,27420,28456,30898
aristos,42743,67272,49205,51961
aristotelian,66553,59302,47888,9682
aristotle,30496,45689,23081,16765
arithmetic,31740,51464,41918,53781
arithmetical,60073,52856,49349,48972
arithmetically,60115,80830,79696,56253
arizona,5531,5071,1892,19086
arizonan,67560,49128,66551,51191
arizonans,57968,53353,50568,39371
arjun,29574,27333,28823,46608
ark,7741,1507,9687,20719
arkansan,40922,55404,74864,80689
arkansans,76928,28256,70733,51422
arkansas,6405,3511,3632,46663
arkwright,67677,69847,48481,74614
arlene,11051,32332,13695,36037
arles,41812,55936,18458,32024
arline,69941,71208,60858,73710
arlington,2892,4536,2314,38519
arm,4204,141,3811,6527
armada,30283,18111,10253,34469
armadillo,22109,3418,28828,9493
armageddon,23890,29609,25512,27882
armagnac,27667,67089,55606,37887
armament,37753,50088,39848,31819
armamentarium,51035,65211,80941,19419
armature,45742,27588,42192,19832
armband,47081,3852,39323,20002
armchair,10250,15281,10407,8421
armenia,27209,18366,9355,28191
armenian,8242,16547,9325,26722
armer,67685,39122,79281,22727
armful,27133,14359,65060,25886
armhole,56502,16598,43327,54499
armida,35758,80171,75925,54988
