word,day_427,day_428,day_429,day_430
acculturated,77648,64865,78232,77993
acculturation,50258,77319,70884,72261
accumulate,12806,14948,15017,6151
accumulation,17220,10707,14671,8381
accumulative,64354,27441,44131,38242
accumulator,65898,73294,58121,7900
accuracy,28223,18323,11622,46596
accurate,17635,15995,8852,35096
accurately,27961,29759,17870,25367
accursed,74362,48416,55315,62176
accusation,14617,40155,25733,17957
accusative,79082,49029,65180,39939
accusatory,62789,15006,75235,30332
accuse,8196,15808,9776,26483
accuser,47069,25749,59750,15837
accusingly,53882,17374,75283,69236
accustom,4798,9427,9409,8394
ace,6474,3880,7105,17506
aced,38737,45550,57489,74997
acellular,60995,79878,37877,18145
acer,31140,36430,21381,25362
acerbic,49550,50973,69547,27892
acerola,78612,63403,58784,20943
acetal,75759,73934,21791,57265
acetaldehyde,73069,69374,75944,31739
acetaminophen,42294,17887,44202,2127
acetate,49291,18787,15106,2894
acetazolamide,69341,70068,77894,21363
acetic,53518,70680,45697,7181
acetone,44901,13036,39723,418
acetonitrile,49152,72937,53261,12771
acetyl,22085,20029,60760,14668
acetylcholine,36134,70232,55833,24201
acetylcholinesterase,60815,57935,56527,59826
acetylene,65489,80065,61956,54387
acetylsalicylic,76713,73043,74987,40816
ach,26609,27030,36729,25076
acharya,46729,46560,56861,44215
ache,10726,2109,17631,1242
achievability,81575,79785,68258,79597
achievable,17769,49041,20236,15055
achieve,5831,10551,6200,4056
achievement,5038,7935,10625,72971
achiever,14505,19429,20682,46733
achilles,28448,2865,34089,37639
achingly,44989,44374,29014,48825
achondroplasia,79124,67195,76507,42188
achy,25673,26362,44177,32228
acid,12632,11092,6686,331
acidic,15265,17378,11284,837
acidification,57946,57378,10591,32956
acidify,57868,44959,32257,3410
acidity,26814,43681,17712,3309
acidly,40990,62501,56072,54069
acidophilus,56359,62949,58940,1426
acidosis,76410,27171,44481,21920
acing,52722,58386,57678,58828
ack,24764,25711,23411,50894
acker,41858,62372,25529,56592
ackman,41421,71791,77450,14989
acknowledge,6549,9481,10569,36712
acknowledgement,12063,18324,23866,61561
acknowledgment,13192,25290,38044,45557
acme,13775,5631,32965,19028
acne,21407,7361,7789,102
acolyte,32841,49140,71415,18583
aconite,52135,47448,78072,19456
acorn,7123,1686,17752,20485
acoustic,7599,12558,9725,12301
acoustical,46883,24512,31670,20213
acoustically,18247,67894,33591,50584
acquaint,3790,31578,9633,35063
acquaintance,2734,26051,13793,47239
acquaintanceship,36511,66687,70367,72672
acquiesce,38219,56503,34974,66700
acquiescence,47309,40037,60670,79790
acquiescent,60666,70088,68145,78256
acquire,10560,7764,8102,23372
acquirement,50461,59395,58693,60066
acquirer,65823,72634,73649,46415
acquirers,38811,68631,39298,42661
acquisition,9876,19968,9914,13526
acquisitive,54387,9893,66188,30368
acquisitiveness,76070,49586,78961,54240
acquit,35852,46867,27599,52812
acquittal,20640,57461,40881,51433
acre,5784,2608,515,26367
acreage,21269,29335,4129,40339
acrid,67223,37772,59832,7492
acrimonious,33450,66318,56315,22891
acrimoniously,43915,67564,78653,57130
acrimony,30669,75760,74725,57791
acrobat,14715,12371,28395,52080
acrobatic,19171,24351,24541,46560
acrolein,72478,80470,76597,62658
acromegaly,58897,64180,78514,32467
acronym,19693,22616,27131,12431
acronymic,81148,65309,72176,72748
acrophobia,54418,56789,62316,72529
acropolis,23778,49408,4847,26276
across,1976,582,298,7775
acrostic,40539,35845,55003,20494
acrylic,14520,1713,6833,1502
acrylonitrile,80432,81107,43613,58285
act,5011,8379,4248,5892
acta,55713,38226,31777,44395
actaeon,41454,48040,67138,54066
actin,36243,34263,44179,51316
acting,3707,15618,7332,6880
actinic,52403,70638,19990,29318
action,3300,1914,1986,5254
actionable,34263,63302,48147,33310
actional,69843,45296,62190,5946
actioner,52623,72970,33671,55314
activate,19025,5483,18392,4330
activation,19265,6556,20918,25623
activator,56624,16000,48842,2286
active,4847,3340,1944,260
actively,7400,12496,6333,15858
activeness,73431,32641,52594,13504
activism,12372,13046,14250,61259
activist,8560,9634,7374,58186
activity,237,2527,320,12802
acton,16926,51254,19739,54783
actor,3065,20696,6450,16798
actress,5650,25152,5063,11497
actu,65547,44473,77109,73744
actual,3507,6331,2851,11570
actualisation,81431,78819,76474,75782
actuality,22385,52123,16363,26220
actualization,72887,61744,44993,38397
actualize,59957,44087,46109,38805
actually,715,2367,1272,1347
actuals,63183,61059,56098,71962
actuarial,29549,62503,36369,62060
actuarially,27366,78996,62352,57592
actuary,47281,45977,45490,30803
actuate,64970,33746,65521,49719
actuation,63683,35339,52867,52254
actuator,48979,39086,55697,12955
actus,80141,60225,63484,54538
acuerdo,78454,73695,77726,15567
acuity,35304,32602,30764,54157
acumen,33983,21301,56070,56727
acupressure,21564,2586,25628,8054
acupuncture,21076,3887,14293,3265
acupuncturist,40139,29997,26773,8985
acus,77095,44146,76425,69122
acute,22637,10657,27286,20785
acutely,28077,26560,45283,26307
acuteness,65133,63038,61053,63808
acyclic,31989,55582,47926,38798
ad,5029,4276,3476,2773
